appid,title,price_usd,is_free,coming_soon,early_access,release_date,genres,categories,review_count,dlc_count,required_age,windows,mac,linux,supported_languages,achievements,developer,publisher,short_desc,review_polarization,success,owners_estimate
703080,Planet Zoo,44.99,False,False,False,"Nov 5, 2019",Casual;Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;HDR available;Family Sharing,87849,22,0.0,True,False,False,18,38,Frontier Developments,Frontier Developments,"Build a world for wildlife in Planet Zoo. From the developers of Planet Coaster and Zoo Tycoon comes the ultimate zoo sim. Construct detailed habitats, manage your zoo, and meet authentic living animals who think, feel and explore the world you create around them.",0.1780421172453045,1,"2,000,000 .. 5,000,000"
7770,X-COM: Enforcer,4.99,False,False,False,"Sep 4, 2008",Strategy,Single-player;Multi-player;Family Sharing,438,0,0.0,True,False,False,1,0,"MicroProse Software, Inc",2K,X-COM: Earth's top-secret eXtraterrestrial COMbat unit The Place: America - early 21st century The Mission: Eradicate the extraterrestrials Alien forces have invaded Earth and are terrorizing the population.,0.8496583143507973,0,"200,000 .. 500,000"
327520,Traverser,0.0,False,False,False,"Jul 9, 2015",Action;Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Family Sharing,106,0,0.0,True,False,False,1,20,Gatling Goat Studios,Adult Swim Games,"The sun is dead. Mankind has fled underground. In the two-sided city of Brimstone, the all-seeing Raven Corporation controls our most precious resource: breathable air. It now falls to guard-in-training Valerie to infiltrate the company, reveal its secrets and uncover years of lies and propaganda.",0.5700934579439252,0,"0 .. 20,000"
94200,Jamestown,9.99,False,False,False,"Jun 8, 2011",Action;Indie,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Stats;Steam Leaderboards;Remote Play Together;Family Sharing,2341,1,0.0,True,True,False,1,42,Final Form Games,Final Form Games,"Jamestown: Legend Of The Lost Colony is a neo-classical top-down shooter for up to 4 players, set on 17th-century British Colonial Mars. It features all the intensity, depth, and lovingly handcrafted pixels of a classic arcade shooter, with a modern twist: deeply-integrated cooperative gameplay.",0.1182749786507258,1,"500,000 .. 1,000,000"
609320,FAR: Lone Sails,14.99,False,False,False,"May 17, 2018",Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on TV;Family Sharing,22315,2,0.0,True,True,False,14,14,Okomotive,Okomotive,"Traverse a dried-out seabed littered with the remains of a decaying civilization. Keep your unique vessel going, overcome numerous obstacles and withstand the hazardous weather conditions. How far can you make it? What will you find?",0.098987273704965,1,"500,000 .. 1,000,000"
1257290,Atelier Ryza 2: Lost Legends & the Secret Fairy,0.0,False,False,False,"Jan 25, 2021",RPG,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Remote Play on Tablet;Family Sharing,3570,17,0.0,True,False,False,6,49,"KOEI TECMO GAMES CO., LTD.","KOEI TECMO GAMES CO., LTD.","This story takes place three years after the events of the previous game “Atelier Ryza: Ever Darkness &amp; the Secret Hideout,” and depicts the reunion of Ryza and her friends, who go through new encounters and goodbyes to discover a true priceless treasure.",0.1806216746009521,1,"50,000 .. 100,000"
510420,The Hex,9.99,False,False,False,"Oct 16, 2018",Indie,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,4957,6,0.0,True,True,True,12,28,Daniel Mullins Games,Daniel Mullins Games,"In a creaky old tavern, in a forgotten corner of the video-game universe, a storm is raging. An anonymous caller suggests that there is a murder plot. Six video game protagonists are the only plausible suspects...",0.1155707946752723,1,"100,000 .. 200,000"
446100,Mantis Burn Racing®,9.99,False,False,False,"Oct 12, 2016",Casual;Indie;Racing,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on TV;Remote Play Together;Family Sharing,123,3,0.0,True,False,False,10,55,VooFoo Studios,VooFoo Studios,"The race is on in Mantis Burn Racing, where fast-paced bumper-to-bumper racing combines with intuitive, tactile gameplay and stunning visuals in one of the best-looking and immersive top-down racers around.",0.5403225806451613,0,"0 .. 20,000"
234270,Ken Follett's The Pillars of the Earth,19.99,False,False,False,"Aug 15, 2017",Adventure;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on TV;Family Sharing,7079,1,0.0,True,True,True,10,41,Daedalic Entertainment,Daedalic Entertainment,"12th century, England: In a time of poverty and war, a small town begins the construction of a cathedral to claim wealth and safety for its people. In their struggle to survive, lives and destinies intertwine. Based on Ken Follett's world-bestseller ‘The Pillars of the Earth’.",0.1475988700564972,1,"200,000 .. 500,000"
214970,Intrusion 2,9.99,False,False,False,"Sep 11, 2012",Action;Indie,Single-player;Steam Achievements;Partial Controller Support;Steam Cloud;Remote Play on Phone;Remote Play on Tablet;Family Sharing,2071,0,0.0,True,False,True,2,14,Aleksei Abramenko,Aleksei Abramenko,"&quot;This is some of the most fun I've had with a game so far this year, and it will go down as one of the best side-scrolling shooters of all time.&quot; - 9/10, Destructoid",0.2138030888030888,1,"200,000 .. 500,000"
2400,The Ship: Murder Party,9.99,False,False,False,"Jul 11, 2006",Action;Indie;RPG,Single-player;Multi-player;PvP;Online PvP;LAN PvP;Steam Trading Cards;Valve Anti-Cheat enabled;Family Sharing,5950,0,0.0,True,False,False,8,0,Outerlight Ltd.,Blazing Griffin,The Ship is a murder mystery multiplayer.,0.2831456898000336,0,"1,000,000 .. 2,000,000"
1028350,Pupperazzi: The Dog Photography Game,19.99,False,False,False,"Jan 20, 2022",Action;Casual;Indie,Single-player;Steam Achievements;Partial Controller Support;Family Sharing,514,0,0.0,True,True,False,9,13,Sundae Month,Kitfox Games,"Put your love for pups to the test - we have a bunch of dogs that need their photos taken, doggone it! Photograph and catalogue the finest (and derpiest) dogs to build your career, upgrade your camera, and discover new canines. WOOF.",0.0912621359223301,1,"20,000 .. 50,000"
1272080,PAYDAY 3,14.99,False,False,False,"Sep 21, 2023",Action;Adventure;RPG,Single-player;Multi-player;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;In-App Purchases;Camera Comfort;Custom Volume Controls;Adjustable Difficulty;Stereo Sound;Subtitle Options;Surround Sound;Partial Controller Support;Steam Cloud;Family Sharing,58692,24,17.0,True,False,False,14,22,Starbreeze Studios,Starbreeze Entertainment,"PAYDAY 3 is the ultimate co-op FPS crime fantasy. Choose between stealth or loud playstyles, customize your character, and get ready to pull off the perfect heist.",0.8688429625338626,0,"2,000,000 .. 5,000,000"
236850,Europa Universalis IV,49.99,False,False,False,"Aug 13, 2013",Simulation;Strategy,Single-player;Multi-player;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Family Sharing,134436,33,0.0,True,True,True,4,373,Paradox Development Studio,Paradox Interactive,"Rule your land and dominate the world with unparalleled freedom, depth and historical accuracy. Write a new history of the world and build an empire for the ages.",0.2678503685741277,1,"5,000,000 .. 10,000,000"
601430,The Evil Within 2,39.99,False,False,False,"Oct 12, 2017",Action;Adventure,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Adjustable Difficulty;Stereo Sound;Surround Sound;Steam Cloud;Family Sharing,28906,0,17.0,True,False,False,12,51,Tango Gameworks,Bethesda Softworks,"Detective Sebastian Castellanos has lost everything, including his daughter, Lily. To save her, he must descend into the nightmarish world of STEM. Horrifying threats emerge from every corner, and he must rely on his wits to survive. For his one chance at redemption, the only way out is in.",0.1557754177188915,1,"1,000,000 .. 2,000,000"
829110,LEGO® DC Super-Villains,39.99,False,False,False,"Oct 16, 2018",Action;Adventure,Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Steam Achievements;Full controller support;Steam Cloud;Remote Play on Phone;Remote Play on Tablet;Remote Play on TV;Remote Play Together;Family Sharing,6888,9,0.0,True,True,False,14,75,TT Games,Warner Bros. Interactive Entertainment,"It's good to be bad… Embark on an all-new DC/LEGO® adventure by becoming the best villain the universe has seen. Players will create and play as an all-new super-villain throughout the game, unleashing mischievous antics and wreaking havoc in an action-packed story.",0.1711424009290172,1,"200,000 .. 500,000"
202990,Call of Duty®: Black Ops II,59.99,False,False,False,"Nov 12, 2012",Action,Single-player;Multi-player;Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Valve Anti-Cheat enabled;Steam Leaderboards;Remote Play on TV;Family Sharing,31890,5,17.0,True,False,False,5,35,Treyarch,Activision,"Pushing the boundaries of what fans have come to expect from the record-setting entertainment franchise, Call of Duty®: Black Ops II propels players into a near future Cold War",0.3004295882850961,0,"2,000,000 .. 5,000,000"
534290,Cursed Castilla (Maldita Castilla EX),11.99,False,False,False,"Oct 20, 2016",Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Keyboard Only Option;Steam Cloud;Stats;Family Sharing,631,1,0.0,True,False,False,11,16,Locomalito,Abylight Studios,"Cursed Castilla (Maldita Castilla EX) is an arcade action platformer full of creatures from medieval myths from Spain and the rest of Europe, as well as from chivalric romances. The extended version of the classic Maldita Castilla, originally created by the indie Locomalito.",0.2927215189873418,1,"20,000 .. 50,000"
368500,Assassin's Creed® Syndicate,29.99,False,False,False,"Nov 18, 2015",Action;Adventure,Single-player;Steam Achievements;In-App Purchases;Custom Volume Controls;Adjustable Difficulty;Mouse Only Option;Save Anytime;Stereo Sound;Surround Sound;Partial Controller Support,29679,9,17.0,True,False,False,15,56,"Ubisoft Quebec, in collaboration with Ubisoft Annecy, Bucharest, Kiev, Montreal, Montpellier, Shanghai, Singapore, Sofia, Toronto studios",Ubisoft,"London, 1868. Lead your underworld organization in the midst of the Industrial Revolution to break the corrupt stranglehold on the city in a visceral adventure filled with action, intrigue, and brutal combat.",0.3976078167115903,0,"2,000,000 .. 5,000,000"
491950,Orwell: Keeping an Eye On You,9.99,False,False,False,"Oct 27, 2016",Adventure;Indie;Simulation,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,14954,1,17.0,True,True,True,10,27,Osmotic Studios,Daedalic Entertainment,"Big Brother has arrived - and it’s you. Investigate the lives of citizens to find those responsible for a series of terror attacks. Information from the internet, personal communications and private files are all accessible to you. But, be warned, the information you supply will have consequences.",0.1891675025075225,1,"1,000,000 .. 2,000,000"
528720,Shu,9.99,False,False,False,"Oct 4, 2016",Action;Adventure;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Steam Leaderboards;Remote Play on TV;Family Sharing,213,1,0.0,True,False,False,6,42,Coatsink,Coatsink,"Shu is a stylish 2.5D platformer set in a beautiful and engrossing world. Guide Shu and a cast of beautifully hand-drawn characters as they run, jump and glide their way across exotic lands, forever pursued by the monstrous and unrelenting Storm. CAN YOU OUTRUN THE END OF THE WORLD?",0.4906542056074766,0,"20,000 .. 50,000"
7830,Men of War™,4.99,False,False,False,"May 6, 2009",Strategy,Single-player;Multi-player;PvP;LAN PvP;Co-op;LAN Co-op;Steam Cloud;Includes level editor;Family Sharing,3618,0,17.0,True,False,False,6,0,Best Way,Fulqrum Publishing,"Men of War is a stunning Real-Time Strategy game that takes place during the height of World War II. Intense battles span Europe and North Africa as gamers play as Soviet, Allied or German forces across 19 massive single-player missions.",0.1975683890577507,1,"500,000 .. 1,000,000"
1238020,Mass Effect™ 3 N7 Digital Deluxe Edition (2012),29.99,False,False,False,"Jun 11, 2020",Action;RPG;Strategy,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements,2557,0,0.0,True,False,False,7,68,BioWare,Electronic Arts,"Earth is burning. The Reapers have taken over and other civilizations are falling like dominoes. Lead the final fight to save humanity and take back Earth from these terrifying machines, Commander Shepard.",0.49687255668491,1,"500,000 .. 1,000,000"
587400,Snow Moto Racing Freedom,12.99,False,False,False,"Apr 11, 2017",Action;Indie;Racing;Simulation;Sports,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Shared/Split Screen;Steam Achievements;Full controller support;Remote Play on TV;Remote Play Together;Family Sharing,80,0,0.0,True,False,False,7,14,Zordix AB,Zordix AB,Snow Moto Racing Freedom lets you take your rightful place on a high-speed snowmobile on Snocross tracks or through vast beautiful winter landscapes. Experience the thrill of racing so close to your opponents that you can feel the spray of the snow and hear the roar of their engines.,0.5061728395061729,0,"0 .. 20,000"
233450,Prison Architect,29.99,False,False,False,"Oct 6, 2015",Indie;Simulation;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Steam Cloud;Includes level editor;Family Sharing,72330,12,0.0,True,True,True,15,18,Introversion Software,Paradox Interactive,Only the world’s most ruthless Warden can contain the world’s most ruthless inmates. Design and develop your personalized penitentiary in Prison Architect.,0.2182051955593037,1,"5,000,000 .. 10,000,000"
374030,Virginia,9.99,False,False,False,"Sep 22, 2016",Adventure;Casual;Indie,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Remote Play on TV;Family Sharing,3288,1,17.0,True,True,False,13,17,Variable State,505 Games,Virginia is a single-player first-person thriller set in a small town with a secret. Experience a missing person investigation through the eyes of graduate FBI agent Anne Tarver.,0.7123745819397993,0,"50,000 .. 100,000"
212050,Resonance,14.99,False,False,False,"Jul 25, 2012",Adventure;Indie,Single-player;Steam Achievements;Steam Trading Cards;Captions available;Steam Cloud;Commentary available;Family Sharing,547,1,0.0,True,True,True,1,38,XII Games,Wadjet Eye Games,"When a brilliant particle physicist dies unexpectedly, the race is on to secure his terrible new technology before it falls into the wrong hands. The lives of four playable characters become entangled as they fight against the clock to find the dead scientist’s secret vault.",0.2098540145985401,1,"100,000 .. 200,000"
664430,WWE 2K18,0.0,False,False,False,"Oct 17, 2017",Simulation;Sports,Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Remote Play on TV;Remote Play Together;Family Sharing,2160,0,0.0,True,False,False,6,52,Visual Concepts,2K,"NOTE: All multiplayer servers for WWE 2K18 will be shutdown as of 6/30/2022. After that time, all game functions requiring online servers will no longer function.",0.922258213789912,0,"200,000 .. 500,000"
573660,AereA,9.99,False,False,False,"Jun 2, 2017",Action;Adventure;Indie;RPG,Single-player;Multi-player;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Remote Play on TV;Remote Play Together;Family Sharing,67,2,0.0,True,True,True,16,28,SOEDESCO,SOEDESCO,AereA is an Action RPG in which music is both your best friend and your worst enemy. As a disciple of the Great Maestro Guido you have to unravel the mysteries of Aezir. Find out what happened to the world and return the nine primordial instruments to restore balance and bring peace to the world.,0.9852941176470588,0,"0 .. 20,000"
31860,Nancy Drew®: Legend of the Crystal Skull,9.99,False,False,False,"Jul 17, 2009",Adventure,Single-player;Family Sharing,198,0,0.0,True,False,False,1,0,HeR Interactive,HeR Interactive,The Search is on for an Unearthly Artifact in New Orleans!,0.1658291457286432,1,"20,000 .. 50,000"
130,Half-Life: Blue Shift,4.99,False,False,False,"Jun 1, 2001",Action,Single-player;Custom Volume Controls;Adjustable Difficulty;Playable without Timed Input;Save Anytime;Family Sharing,18794,0,0.0,True,True,True,3,0,Gearbox Software,Valve,"Made by Gearbox Software and originally released in 2001 as an add-on to Half-Life, Blue Shift is a return to the Black Mesa Research Facility in which you play as Barney Calhoun, the security guard sidekick who helped Gordon out of so many sticky situations.",0.1500931098696462,0,"1,000,000 .. 2,000,000"
1693980,Dead Space,59.99,False,False,False,"Jan 27, 2023",Action;Adventure,Single-player;Steam Achievements;Full controller support;Camera Comfort;Color Alternatives;Custom Volume Controls;Adjustable Difficulty;Keyboard Only Option;Stereo Sound;Subtitle Options;Surround Sound;Steam Cloud;HDR available;Family Sharing,51259,1,17.0,True,False,False,12,47,Motive,Electronic Arts,"The sci-fi survival-horror classic returns, completely rebuilt to offer an even more immersive experience — including visual, audio, and gameplay improvements — while staying faithful to the original game’s thrilling vision.",0.1862856028092079,1,"500,000 .. 1,000,000"
275670,Space Run,4.99,False,False,False,"Jun 13, 2014",Indie;Strategy,Single-player;Steam Achievements;Steam Trading Cards;Steam Cloud;Family Sharing,2086,0,0.0,True,True,True,6,30,Passtech Games,Focus Entertainment,"Space Run is a «real-time spaceship construction strategy game». Space Run takes the well-known Tower Defense-style gameplay and twists it, challenging you to manage and protect a spaceship and its cargo against the hazards of deep space!",0.2908481073310972,0,"200,000 .. 500,000"
682810,GUTS,9.99,False,False,False,"Nov 14, 2017",Action;Indie;Sports,Single-player;Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Shared/Split Screen;Steam Achievements;Full controller support;Steam Cloud;Remote Play Together;Family Sharing,33,1,0.0,True,False,False,10,49,Flux Games Inc.,Libredia Entertainment,"GUTS is a hilarious ultra-violent Tarantino-style over-the-top game where players must dismember each other. The fight continues even when there are just two little stumps, and it keeps going until one fighter emerges victorious after dismembering all the opponent’s four limbs!",0.4411764705882353,0,"0 .. 20,000"
211740,Thief II: The Metal Age,6.99,False,False,False,"May 22, 2012",Action;Simulation,Single-player;Family Sharing,1957,0,17.0,True,False,False,1,0,Looking Glass Studios,Eidos Interactive Corp.,"The ultimate thief is back! Tread softly as you make your way through 15 new complex, non-linear levels full of loot to steal and guards to outsmart. Improved enemy AI, new gadgets and a riveting story will draw you into the world of Thief II: The Metal Age, a place of powerful new technologies, fanatical religions and corruption.",0.1077630234933605,1,"500,000 .. 1,000,000"
236390,War Thunder,0.0,True,False,False,"Aug 15, 2013",Action;Massively Multiplayer;Simulation;Free To Play,Single-player;Multi-player;MMO;PvP;Online PvP;Co-op;Online Co-op;Cross-Platform Multiplayer;Steam Achievements;Full controller support;VR Supported;Steam Trading Cards;In-App Purchases;Adjustable Text Size;Camera Comfort;Color Alternatives;Custom Volume Controls;Playable without Timed Input;Stereo Sound;Surround Sound;Remote Play on Phone;Remote Play on Tablet,757086,37,0.0,True,True,True,18,91,Gaijin Entertainment,Gaijin Network Ltd,"War Thunder is the most comprehensive free-to-play, cross-platform, MMO military game dedicated to aviation, armoured vehicles, and naval craft, from the early 20th century to the most advanced modern combat units. Join now and take part in major battles on land, in the air, and at sea.",0.7201748279920273,0,"20,000,000 .. 50,000,000"
454410,GIGA WRECKER,19.99,False,False,False,"Feb 6, 2017",Action;Adventure,Single-player;Steam Achievements;Steam Trading Cards;Steam Workshop;Partial Controller Support;Steam Cloud;Includes level editor;Family Sharing,725,1,0.0,True,False,False,9,28,GAME FREAK inc.,Rising Star Games,Become more than human and save mankind from total annihilation! From legendary developer Game Freak comes an action adventure like no other - manipulate the world around you and smash the evil Ajeet to smithereens!,0.4476584022038568,0,"50,000 .. 100,000"
782330,DOOM Eternal,39.99,False,False,False,"Mar 19, 2020",Action,Single-player;Multi-player;PvP;Online PvP;Steam Achievements;Steam Trading Cards;Color Alternatives;Adjustable Difficulty;Stereo Sound;Surround Sound;Partial Controller Support;Steam Cloud;Remote Play on Phone;Remote Play on Tablet;HDR available;Family Sharing,206026,13,17.0,True,False,False,13,50,id Software,Bethesda Softworks,Hell’s armies have invaded Earth. Become the Slayer in an epic single-player campaign to conquer demons across dimensions and stop the final destruction of humanity. The only thing they fear... is you.,0.1768651681575715,1,"5,000,000 .. 10,000,000"
1015940,Welcome to Elk,14.99,False,False,False,"Sep 17, 2020",Adventure;Indie,Single-player;Steam Achievements;Full controller support;Adjustable Text Size;Camera Comfort;Custom Volume Controls;Keyboard Only Option;Family Sharing,271,1,17.0,True,True,True,7,25,Triple Topping,Akupara Games,"True stories told by real people. Welcome to Elk transforms the weird, wonderful, dark and desperate tales of the road less-traveled into an inventive, biographical adventure. This is an island like no other where drama, trauma, love and laughter hide around every corner.",0.0772058823529411,1,"0 .. 20,000"
228380,Wreckfest,29.99,False,False,False,"Jun 14, 2018",Action;Indie;Racing;Simulation;Sports,Single-player;Multi-player;PvP;Online PvP;Steam Achievements;Steam Workshop;Partial Controller Support;Steam Cloud;Stats;Steam Leaderboards;Family Sharing,38617,14,0.0,True,False,False,13,20,Bugbear,THQ Nordic,"Wreckfest is a demolition derby themed racing game with soft-body damage modeling, sophisticated driving dynamics and in-depth vehicle upgrading, featuring both demolition derbies and more traditional track races. It’s all about fun, breakneck racing and over-the-top crashes.",0.2375317209591382,1,"1,000,000 .. 2,000,000"
324800,Shadow Warrior 2,29.99,False,False,False,"Oct 13, 2016",Action;Adventure,Single-player;Multi-player;Co-op;Online Co-op;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on TV;Family Sharing,27230,4,17.0,True,False,False,8,64,Flying Wild Hog,Devolver Digital,"Shadow Warrior 2 is the stunning evolution of Flying Wild Hog’s offbeat first-person shooter starring the brash warrior Lo Wang, who must again wield a devastating combination of guns, blades, magic and wit to strike down the demonic legions overwhelming the world.",0.2550402115236312,1,"1,000,000 .. 2,000,000"
760650,Hammerting,24.99,False,False,False,"Nov 16, 2021",Adventure;Indie;RPG;Simulation;Strategy,Single-player;Multi-player;Co-op;Online Co-op;Steam Trading Cards;Family Sharing,2518,0,0.0,True,False,False,10,16,Warpzone Studios,Team17 Digital,"Manage a Dwarven mining colony in the unexplored mountains of Mara. As conflict rages in the Overworld, you will need to craft, explore and fight as you provide the allies of your choice with the finest weapons and gear to assist them in the battle for glory.",0.850734418420008,0,"200,000 .. 500,000"
217920,Alien Rage - Unlimited,1.99,False,False,False,"Sep 24, 2013",Action,Single-player;Multi-player;Steam Achievements;Steam Leaderboards;Family Sharing,3455,0,17.0,True,False,False,9,49,CI Games,CI Games,Unleash a fury of powerful weapons as you blast your way through armies of Alien forces hell-bent on taking you down! Battle through 14 intense levels and prepare to face a barrage of beastly-sized bosses that will test your every skill. Each of your 10 weapons comes with two firing modes and you’ll need all of them!,0.6490162037037037,0,"500,000 .. 1,000,000"
230270,N++ (NPLUSPLUS),14.99,False,False,False,"Aug 25, 2016",Action,Single-player;Multi-player;PvP;Shared/Split Screen PvP;Co-op;Shared/Split Screen Co-op;Shared/Split Screen;Steam Achievements;Full controller support;Steam Trading Cards;Steam Cloud;Remote Play on TV;Remote Play Together;Family Sharing,3206,0,0.0,True,True,True,12,33,Metanet Software Inc.,Metanet Software Inc.,"N++ is a fast-paced, momentum-based platformer about darting around obstacles, narrowly evading enemies and collecting gold in a beautiful minimalist landscape.",0.1269098846273776,1,"200,000 .. 500,000"
21010,Watchmen: The End is Nigh,4.99,False,False,False,"Mar 4, 2009",Action,Single-player;Multi-player;Shared/Split Screen;Remote Play Together;Family Sharing,780,0,17.0,True,False,False,5,0,Deadline Games,Warner Bros. Games,"The lines between good and bad have been blurred and crime and terror run rampant in the streets. The alleys, rooftops and sewers are crawling with criminals and brutal gangs. And now, Underboss — in a daring escape — has broken out of prison and is ruling with vicious darkness.",0.5672215108834827,0,"50,000 .. 100,000"
